Date/Time,Date,Time,Value [foot],Quality code,Interpolation type,,tagComments
04/30/2012 12:00:00,04/30/2012,12:00:00,---,-2147482513,101,,
06/01/2012 12:00:00,06/01/2012,12:00:00,---,-2147482513,101,,
08/16/2012 12:00:00,08/16/2012,12:00:00,-12.08,1135,101,,
10/05/2012 12:00:00,10/05/2012,12:00:00,-13.81,1135,101,,
12/11/2012 12:00:00,12/11/2012,12:00:00,-9.6,1135,101,,
01/02/2013 12:40:00,01/02/2013,12:40:00,-7.58,1224,101,,
02/11/2013 12:00:00,02/11/2013,12:00:00,-4.91,1135,101,,
02/11/2013 13:30:00,02/11/2013,13:30:00,-4.91,1224,101,,
04/10/2013 12:00:00,04/10/2013,12:00:00,-0.06,1135,101,,
06/17/2013 12:00:00,06/17/2013,12:00:00,-4.36,1135,101,,
07/19/2013 12:00:00,07/19/2013,12:00:00,-5.04,1135,101,,
10/07/2013 12:00:00,10/07/2013,12:00:00,-5.79,1135,101,,
10/07/2013 12:54:00,10/07/2013,12:54:00,-5.79,1224,101,,
01/29/2014 12:00:00,01/29/2014,12:00:00,-10.45,1135,101,,
01/29/2014 14:30:00,01/29/2014,14:30:00,-10.45,1224,101,,
04/07/2014 12:00:00,04/07/2014,12:00:00,-7.56,1135,101,,
04/07/2014 14:45:00,04/07/2014,14:45:00,-7.56,1224,101,,
07/22/2014 12:00:00,07/22/2014,12:00:00,-10.24,1135,101,,
07/22/2014 12:10:00,07/22/2014,12:10:00,-10.24,1224,101,,
10/01/2014 11:20:00,10/01/2014,11:20:00,-7.63,1224,101,,
10/01/2014 12:00:00,10/01/2014,12:00:00,-7.63,1135,101,,
01/14/2015 10:01:00,01/14/2015,10:01:00,1.77,1224,101,,
01/14/2015 12:00:00,01/14/2015,12:00:00,1.77,1135,101,,
04/21/2015 10:59:00,04/21/2015,10:59:00,2.45,1224,101,,
04/21/2015 12:00:00,04/21/2015,12:00:00,2.45,1135,101,,
07/14/2015 12:50:00,07/14/2015,12:50:00,2.81,1224,101,,
10/08/2015 12:19:00,10/08/2015,12:19:00,0.83,1224,101,,
11/05/2015 13:57:00,11/05/2015,13:57:00,0.86,1224,101,,
01/22/2016 14:47:00,01/22/2016,14:47:00,6.36,1224,101,,
04/27/2016 12:47:00,04/27/2016,12:47:00,12.25,1224,101,,
07/20/2016 13:42:00,07/20/2016,13:42:00,12.59,1224,101,,
10/11/2016 10:27:00,10/11/2016,10:27:00,12.56,1224,101,,
04/13/2017 12:37:00,04/13/2017,12:37:00,17.1,1224,101,,
05/22/2017 15:20:00,05/22/2017,15:20:00,14.93,1224,101,,
07/18/2017 10:28:00,07/18/2017,10:28:00,11.74,1224,101,,
10/05/2017 13:31:00,10/05/2017,13:31:00,6.1,1224,101,,
05/02/2018 11:30:00,05/02/2018,11:30:00,14.37,1224,101,,
07/24/2018 10:53:00,07/24/2018,10:53:00,9.1,1224,101,,
10/17/2018 11:50:00,10/17/2018,11:50:00,4.85,1224,101,,
